date,fond,amount,compte_crediteur,bic,transactor,adresse,type,communication,solde
"18-08-2022","BE64523081419552","10,00","BE73023643847628","NICABEBB","M. Leonard Quintenps","Avenue Sahin 95 9798 Genappe","SCT","don","10,00"
"23-08-2022","BE64523081419552","10,00","BE07279903474580","GEBABEBB","DE WILDE EVA","IMPASSE MESSAOUDI 85 4422 FOSSES-LA-VILLE","SCT","","20,00"
"28-08-2022","BE64523081419552","2.580,00","BE25401248022581","TRIOBEBB","FONDATION MARIUS JACOB"," ","SCTIB","fonds specifique l'amorce","2.600,00"
"01-09-2022","BE64523081419552","20,00","BE25727513271577","NEECBEB2","Quintenps Leonard","Place Thys 55 4350 Péruwelz","SCT","","2.620,00"
"05-09-2022","BE64523081419552","15,00","BE48499914275751","AXABBE22","Piron Emmanuel","AVENUE VERHAEGEN 91 3083 TIRLEMONT","SCT","","2.635,00"
"06-09-2022","BE64523081419552","10,00","BE07279903474580","GEBABEBB","DE WILDE EVA","IMPASSE MESSAOUDI 85 4422 FOSSES-LA-VILLE","SCT","","2.645,00"
"08-09-2022","BE64523081419552","10,00","BE95671620467794","BPOTBEB1","GILLET YANIS","CHAUSSÉE HEYLEN 3 1166 NAMUR","SCT","","2.655,00"
"14-09-2022","BE64523081419552","-25,00","","","","","ON","1 digipass payant","2.630,00"
"15-09-2022","BE64523081419552","25,00","BE55748591242221","ARSPBE22","LOUIS GILSON","Boulevard Segers 39 0787 La Louvière","SCT","Voila des sous, bisous","2.655,00"
"15-09-2022","BE64523081419552","40,00","BE75002360280349","NEECBEB2","Rivageois / Del Fabri","Chaussée De Coster 48 3037 Zottegem","SCT","L AMORCE(+)Septembre","2.695,00"
"30-09-2022","BE64523081419552","1,00","BE26379998109761","BBRUBEBB","M JULES STEMBERT","Chemin Thijs 68 7082 Halen","SCT","Contrib reserve de soutien","2.696,00"
"30-09-2022","BE64523081419552","20,00","BE25727513271577","NEECBEB2","Quintenps Leonard","Place Thys 55 4350 Péruwelz","SCT","","2.716,00"
"03-10-2022","BE64523081419552","12,00","BE71066571528337","BPOTBEB1","LEGUERREC NOAH","Boulevard Van Dyck 50 6299 Léau","SCT","","2.726,30"
"03-10-2022","BE64523081419552","15,00","BE09592028954970","ARSPBE22","INES GOOSSENS","Avenue Rousseau 359 6528 Ciney","SCT","Contribution INES. G sept 22","2.741,30"
"04-10-2022","BE64523081419552","10,00","BE64963111927873","GEBABEBB","RICHELIEU GREGORY","CHEMIN DIERCKX 37 2885 BASTOGNE","SCT","--- ..- .. / -.-. .----. . ... - / -.. ..- / -- --- .-. ... . .-.-.-","2.751,30"
"05-10-2022","BE64523081419552","15,00","BE48499914275751","AXABBE22","Piron Emmanuel","AVENUE VERHAEGEN 91 3083 TIRLEMONT","SCT","","2.766,30"
"06-10-2022","BE64523081419552","10,00","BE07279903474580","GEBABEBB","DE WILDE EVA","IMPASSE MESSAOUDI 85 4422 FOSSES-LA-VILLE","SCT","","2.776,30"
"10-10-2022","BE64523081419552","10,00","BE95671620467794","BPOTBEB1","GILLET YANIS","CHAUSSÉE HEYLEN 3 1166 NAMUR","SCT","","2.786,30"
"14-10-2022","BE64523081419552","40,00","BE75002360280349","NEECBEB2","Rivageois / Del Fabri","Chaussée De Coster 48 3037 Zottegem","SCT","L AMORCE(+)Octobre","2.826,30"
